Name,Nation,Club,League,Position,Age,Height,Weight,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,Sprint,Positioning,Finishing,Shot,Long,Volleys,Penalties,Vision,Crossing,Free,Curve,Agility,Balance,Reactions,Ball,Composure,Interceptions,Heading,Def,Standing,Sliding,Jumping,Stamina,Strength,Aggression,Att work rate,Def work rate,Preferred foot,Weak foot,Skill moves,ID,Gender,GK
Erling Haaland,Norway,Manchester City,Premier League,ST,23,195,94,91,89,93,66,79,45,88,82,94,96,96,77,53,90,84,74,47,62,77,76,72,94,82,87,43,83,38,47,29,93,76,93,87,High,Medium,Left,3,3,239085,M,
Kevin De Bruyne,Belgium,Manchester City,Premier League,CM,32,181,75,91,72,88,94,86,65,78,72,72,88,85,94,94,83,83,95,95,83,92,74,78,92,92,88,66,55,66,70,53,72,88,74,75,High,Medium,Right,5,4,192985,M,
Mohamed Salah,Egypt,Liverpool,Premier League,RW,31,175,71,89,89,87,81,88,45,76,89,89,92,92,84,77,83,81,84,80,69,84,89,91,93,86,90,55,59,38,43,41,80,87,75,63,High,Medium,Left,3,4,209331,M,
Rúben Dias,Portugal,Manchester City,Premier League,CB,26,187,82,89,62,39,66,64,89,87,54,69,39,29,83,76,32,45,51,54,48,46,60,56,89,75,81,86,87,91,91,87,84,78,90,93,Medium,High,Right,4,2,239818,M,
Rodri,Spain,Manchester City,Premier League,CDM,27,191,82,89,58,73,80,79,85,84,54,62,75,64,89,90,59,62,82,63,61,65,65,64,89,88,85,84,81,88,87,78,80,89,83,83,Medium,High,Right,4,3,231866,M,
Virgil van Dijk,Holland,Liverpool,Premier League,CB,32,193,92,89,78,60,71,70,89,86,66,87,47,52,79,86,45,62,65,53,70,60,59,50,88,76,89,88,86,90,91,86,89,72,93,85,Medium,High,Right,3,2,203376,M,
Alisson,Brazil,Liverpool,Premier League,GK,31,193,91,89,86,85,85,27,56,90,60,49,13,13,60,58,20,23,66,17,18,19,40,37,87,42,66,11,29,15,19,16,82,32,78,27,Medium,Medium,Right,3,1,212831,M,89
Casemiro,Brazil,Manchester Utd,Premier League,CDM,31,185,84,89,63,75,79,69,89,88,60,66,77,69,84,85,68,66,79,68,74,77,61,65,90,79,85,89,84,90,89,88,85,88,88,91,Medium,High,Right,3,2,200145,M,
Bruno Fernandes,Portugal,Manchester Utd,Premier League,CAM,29,179,69,88,71,86,90,81,69,77,74,68,88,83,90,92,87,90,94,87,85,86,78,79,91,88,82,66,66,69,74,65,73,95,66,84,High,High,Right,3,4,212198,M,
Bernardo Silva,Portugal,Manchester City,Premier League,CM,29,173,64,88,69,78,86,92,70,69,78,61,85,78,91,82,78,68,87,84,67,84,95,92,89,91,89,73,54,70,76,60,66,93,54,78,High,High,Left,3,4,218667,M,
Ederson,Brazil,Manchester City,Premier League,GK,30,188,86,88,86,82,91,23,64,86,64,63,20,14,61,65,18,51,70,20,20,15,60,48,87,40,70,27,14,29,15,8,79,44,78,38,Medium,Medium,Left,3,1,210257,M,86
Martin Ødegaard,Norway,Arsenal,Premier League,CAM,25,178,68,87,72,81,88,86,61,64,74,71,83,82,90,87,79,63,89,85,85,83,85,82,84,89,86,66,55,67,55,54,66,81,56,64,High,Medium,Left,2,5,222665,M,
Heung Min Son,Korea Republic,Spurs,Premier League,LW,31,183,78,87,87,88,80,87,42,70,85,88,90,89,82,72,79,73,81,83,74,87,81,74,89,82,87,39,68,47,34,33,78,88,64,62,High,Medium,Right,5,4,200104,M,
Bukayo Saka,England,Arsenal,Premier League,RW,22,178,65,86,85,81,79,89,60,70,88,82,82,83,81,69,79,82,83,83,69,81,85,86,85,87,80,62,45,60,62,60,70,84,63,68,High,Medium,Left,3,3,246669,M,
Sandro Tonali,Italy,Newcastle Utd,Premier League,CDM,23,181,79,86,84,74,81,78,82,84,81,86,75,69,85,83,68,64,79,78,81,75,81,83,83,85,84,84,70,83,84,81,84,86,82,84,Medium,High,Right,4,3,241096,M,
Andrew Robertson,Scotland,Liverpool,Premier League,LB,29,178,64,86,80,61,82,81,81,77,82,78,80,55,82,76,32,55,82,87,71,82,75,74,85,83,83,83,67,82,83,81,77,95,65,85,High,High,Left,2,3,216267,M,
Christopher Nkunku,France,Chelsea,Premier League,CF,26,175,73,86,82,81,83,89,62,67,81,82,86,86,85,80,70,67,84,81,80,82,88,90,85,88,81,64,61,62,64,54,74,78,64,59,Medium,Medium,Right,3,5,232411,M,
Trent Alexander-Arnold,England,Liverpool,Premier League,RB,25,180,69,86,76,69,90,78,80,73,73,79,78,62,88,91,63,55,90,93,85,87,72,72,84,84,82,83,69,79,83,78,74,89,66,69,High,Medium,Right,4,3,231281,M,
Jack Grealish,England,Manchester City,Premier League,LW,28,180,81,85,76,76,84,89,53,73,79,74,82,76,85,81,72,58,87,83,74,83,84,85,84,90,88,49,48,58,54,48,71,83,71,65,High,High,Right,3,4,206517,M,
Phil Foden,England,Manchester City,Premier League,LW,23,171,69,85,81,79,82,88,57,60,86,77,83,81,86,82,59,64,84,78,68,75,91,91,81,90,81,59,47,60,59,47,63,83,47,64,High,High,Left,3,4,237692,M,
Emiliano Martínez,Argentina,Aston Villa,Premier League,GK,31,195,88,85,83,83,82,17,58,84,59,57,12,16,57,59,13,42,66,22,20,22,49,49,82,38,62,13,26,11,20,20,77,40,70,37,Medium,Medium,Right,4,1,202811,M,85
André Onana,Cameroon,Manchester Utd,Premier League,GK,27,190,93,85,83,80,88,26,61,84,62,60,11,12,43,53,13,27,64,15,17,30,66,53,84,38,64,15,20,12,18,14,80,38,79,32,Medium,Medium,Right,3,1,226753,M,85
Thomas Partey,Ghana,Arsenal,Premier League,CDM,30,185,77,85,68,71,82,84,81,82,60,74,70,66,86,86,56,49,85,74,70,69,63,50,82,84,87,82,68,82,85,79,77,79,84,84,Medium,High,Right,3,3,209989,M,
Marcus Rashford,England,Manchester Utd,Premier League,LW,26,186,70,85,90,86,78,86,42,74,88,91,87,86,79,72,74,85,79,77,77,84,81,73,86,84,82,39,76,40,38,33,87,76,73,69,High,Low,Right,3,5,231677,M,
Declan Rice,England,Arsenal,Premier League,CDM,24,185,80,85,71,65,75,80,83,83,67,74,58,61,83,84,50,71,78,55,65,68,55,65,83,79,83,86,72,83,84,82,79,91,79,84,Medium,High,Right,3,2,234378,M,
John Stones,England,Manchester City,Premier League,CB,29,188,76,85,72,52,75,75,85,77,67,76,52,54,86,79,44,52,78,63,37,52,66,59,86,84,87,84,84,86,86,84,84,74,77,80,High,Medium,Right,4,3,203574,M,
