Name,Shortcode,Colour
AFC Bournemouth,BOU,d81c24
Arsenal,ARS,f00001
Aston Villa,AVL,801444
Brentford,BRE,c80404
Brighton,BRI,0854a4
Bristol City,BRC,e81c24
Burnley,BUR,600444
Chelsea,CHE,001589
Crystal Palace,CRY,0055a4
Everton,EVE,00018b
Fulham,FUL,080404
Leicester City,LEI,08348c
Liverpool,LIV,e00c14
Luton Town,LUT,ff4414
Manchester City,MCI,a0c4ec
Manchester Utd,MUN,c80404
Newcastle Utd,NEW,080404
Nott'm Forest,NFO,d0142c
Sheffield Utd,SHU,e80414
Spurs,TOT,181c34
West Ham,WHU,802c3c
Wolves,WOL,ffbc14
