ID,Name,Nation,Club,League,Position,Age,Height,Weight,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Att work rate,Def work rate,Preferred foot,Skill moves,Weak foot,Gender
227203,Alexia Putellas,Spain,FC Barcelona,Liga F,CM,29,173,67,91,82,90,91,92,72,78,High,Medium,Left,5,5,F
241667,Aitana Bonmatí,Spain,FC Barcelona,Liga F,CM,25,161,51,90,81,84,83,91,75,73,High,High,Right,4,5,F
227125,Sam Kerr,Australia,Chelsea,Barclays WSL,ST,30,168,66,90,85,88,74,90,42,85,High,High,Right,4,4,F
227102,Caroline Graham Hansen,Norway,FC Barcelona,Liga F,RW,28,178,66,90,89,86,88,90,47,75,High,Medium,Right,5,4,F
227361,Kadidiatou Diani,France,OL,D1 Arkema,RW,28,168,64,89,89,85,83,88,56,77,High,High,Right,4,4,F
236479,Mapi León,Spain,FC Barcelona,Liga F,CB,28,169,59,89,75,74,81,76,90,81,High,High,Left,2,3,F
226301,Alex Morgan,United States,San Diego Wave,NWSL,ST,34,168,62,89,83,89,80,88,47,77,High,Medium,Left,4,5,F
227310,Ada Hegerberg,Norway,OL,D1 Arkema,ST,28,176,68,89,75,89,77,86,39,76,High,Medium,Right,4,4,F
227190,Irene Paredes,Spain,FC Barcelona,Liga F,CB,32,177,62,88,69,51,67,68,89,80,Medium,High,Right,2,3,F
227316,Wendie Renard,France,OL,D1 Arkema,CB,33,187,70,88,53,67,69,69,91,84,High,Medium,Right,2,3,F
226302,Alexandra Popp,Germany,VfL Wolfsburg,GPFBL,ST,32,174,65,88,73,87,76,82,52,88,High,High,Left,3,5,F
226893,Debinha,Brazil,KC Current,NWSL,CAM,32,155,52,88,84,81,87,91,46,68,High,Medium,Right,5,5,F
264012,Sophia Smith,United States,Portland Thorns,NWSL,ST,23,164,58,88,93,85,78,88,45,82,High,Medium,Right,4,5,F
227323,Guro Reiten,Norway,Chelsea,Barclays WSL,LW,29,167,60,88,88,80,86,86,60,63,High,Medium,Left,4,3,F
245956,Christiane Endler,Chile,OL,D1 Arkema,GK,32,183,73,88,87,82,84,90,42,89,Medium,Medium,Left,1,3,F
246272,Marie Katoto,France,Paris SG,D1 Arkema,ST,25,177,66,88,83,88,77,84,39,71,High,Medium,Right,4,4,F
237289,Patri Guijarro,Spain,FC Barcelona,Liga F,CM,25,170,64,88,78,82,83,86,81,72,High,Medium,Right,4,4,F
227013,Fridolina Rolfö,Sweden,FC Barcelona,Liga F,LB,30,178,65,87,82,82,82,87,83,80,High,High,Left,4,5,F
227246,Lucy Bronze,England,FC Barcelona,Liga F,RB,32,171,65,87,73,68,80,80,85,88,High,High,Right,3,3,F
245802,Beth Mead,England,Arsenal,Barclays WSL,RW,28,163,58,87,81,84,84,87,67,73,High,High,Right,5,4,F
241846,Ewa Pajor,Poland,VfL Wolfsburg,GPFBL,ST,27,167,61,87,85,89,63,89,21,69,High,Low,Right,3,3,F
248717,Lena Oberdorf,Germany,VfL Wolfsburg,GPFBL,CDM,22,174,68,87,58,61,77,76,87,89,Medium,Medium,Right,3,3,F
233837,Lina Magull,Germany,FC Bayern München,GPFBL,CAM,29,166,54,87,81,74,84,86,57,68,High,Medium,Right,5,3,F
232075,Rose Lavelle,United States,OL Reign,NWSL,CAM,28,163,56,87,86,78,84,87,45,65,High,Medium,Left,4,4,F
227776,Sandra Paños,Spain,FC Barcelona,Liga F,GK,31,169,65,87,86,82,84,89,56,87,Medium,Medium,Right,1,3,F
265674,Selma Bacha,France,OL,D1 Arkema,LB,23,161,58,86,87,72,84,82,79,78,High,High,Left,4,3,F
247504,Mary Earps,England,Manchester Utd,Barclays WSL,GK,30,173,68,86,83,83,83,85,41,85,Medium,Medium,Right,1,3,F
257008,Lauren Hemp,England,Manchester City,Barclays WSL,LW,23,164,59,86,90,76,84,87,63,68,High,High,Left,4,3,F
237197,Grace Geyoro,France,Paris SG,D1 Arkema,CM,26,168,61,86,77,72,82,82,83,78,High,High,Right,3,3,F
240714,Jill Roord,Holland,Manchester City,Barclays WSL,CAM,26,175,63,86,77,84,84,85,52,73,High,Medium,Right,4,4,F
233746,Vivianne Miedema,Holland,Arsenal,Barclays WSL,ST,27,178,65,86,82,85,70,86,32,81,High,Medium,Right,4,4,F
233662,Sakina Karchaoui,France,Paris SG,D1 Arkema,LB,27,160,55,86,89,61,82,87,79,65,High,Medium,Left,4,4,F
231432,Lindsey Horan,United States,OL,D1 Arkema,CM,29,175,67,86,78,84,86,84,63,78,High,Medium,Right,4,3,F
245872,Kim Little,Scotland,Arsenal,Barclays WSL,CM,33,162,57,86,76,78,83,88,62,66,High,Medium,Right,3,4,F
244302,Lea Schüller,Germany,FC Bayern München,GPFBL,ST,26,173,60,86,86,83,70,81,33,73,Medium,Low,Right,3,3,F
227392,Ashley Lawrence,Canada,Chelsea,Barclays WSL,RB,28,164,60,86,86,67,82,80,82,78,High,Medium,Right,3,4,F
232073,Mallory Swanson,United States,Chicago Red Stars,NWSL,LW,25,163,54,86,93,82,82,84,42,71,High,Medium,Right,4,5,F
227073,Cristiana Girelli,Italy,Juventus,Calcio A Femminile,ST,33,174,64,86,81,85,71,81,46,78,High,Medium,Right,3,4,F
253436,Ona Batlle,Spain,FC Barcelona,Liga F,RB,24,165,55,85,79,50,78,79,80,71,High,High,Right,3,4,F
238257,Millie Bright,England,Chelsea,Barclays WSL,CB,30,178,76,85,57,50,69,58,86,87,Low,High,Right,2,4,F
227383,Kadeisha Buchanan,Canada,Chelsea,Barclays WSL,CB,28,170,65,85,67,44,58,65,87,85,Medium,Medium,Right,2,3,F
235657,Rachel Daly,England,Aston Villa,Barclays WSL,ST,32,167,62,85,77,85,76,82,64,76,High,High,Right,3,3,F
247789,Merle Frohms,Germany,VfL Wolfsburg,GPFBL,GK,28,175,60,85,85,82,76,84,51,86,Medium,Medium,Right,1,3,F
226375,Kathrin Hendrich,Germany,VfL Wolfsburg,GPFBL,CB,31,173,55,85,72,39,70,73,86,75,Medium,Medium,Right,2,3,F
227318,Amandine Henry,France,Angel City FC,NWSL,CDM,34,171,64,85,60,80,78,78,83,82,High,High,Right,3,3,F
227337,Svenja Huth,Germany,VfL Wolfsburg,GPFBL,RM,32,163,54,85,82,72,83,86,52,67,Medium,Medium,Right,4,4,F
265239,Katie McCabe,Republic of Ireland,Arsenal,Barclays WSL,LB,28,164,55,85,80,74,80,80,81,82,High,Medium,Left,4,3,F
246629,Asisat Oshoala,Nigeria,FC Barcelona,Liga F,ST,29,169,60,85,91,84,78,85,50,85,High,Medium,Right,4,4,F
226328,Megan Rapinoe,United States,OL Reign,NWSL,LM,38,165,60,85,73,85,83,86,46,72,High,Medium,Right,4,5,F
226177,Becky Sauerbrunn,United States,Portland Thorns,NWSL,CB,38,170,64,85,61,44,61,69,87,83,Medium,High,Right,3,3,F
246219,Khadija Shaw,Jamaica,Manchester City,Barclays WSL,ST,26,180,70,85,69,85,69,75,30,85,Medium,Medium,Right,3,4,F
237673,Kailen Sheridan,Canada,San Diego Wave,NWSL,GK,28,176,72,85,85,82,80,85,41,84,Medium,Medium,Right,1,2,F
242830,Keira Walsh,England,FC Barcelona,Liga F,CDM,26,167,60,85,64,46,81,79,79,75,Medium,High,Right,3,3,F
246426,Leah Williamson,England,Arsenal,Barclays WSL,CB,26,170,57,85,75,45,73,72,86,76,High,Medium,Right,3,3,F
265242,Manuela Zinsberger,Austria,Arsenal,Barclays WSL,GK,28,177,67,85,86,77,79,87,46,86,Medium,Medium,Right,1,4,F
258310,Ann-Katrin Berger,Germany,Chelsea,Barclays WSL,GK,33,180,63,84,85,83,80,83,45,81,Medium,Medium,Right,1,3,F
267215,Bella Bixby,United States,Portland Thorns,NWSL,GK,28,183,70,84,85,79,74,89,42,81,Medium,Medium,Right,1,2,F
227096,Lisa Boattin,Italy,Juventus,Calcio A Femminile,LB,26,160,53,84,75,68,81,81,81,86,High,High,Left,3,4,F
238212,Jane Campbell,United States,Houston Dash,NWSL,GK,28,173,66,84,84,83,85,83,40,85,Medium,Medium,Right,1,2,F
262330,Catarina Macario,United States,Chelsea,Barclays WSL,CAM,24,165,58,84,81,83,80,89,57,73,High,Medium,Right,4,3,F
232202,Delphine Cascarino,France,OL,D1 Arkema,RW,26,164,58,84,94,74,80,88,38,58,High,Medium,Right,4,2,F
227327,Sara Däbritz,Germany,OL,D1 Arkema,CM,28,171,58,84,76,81,84,86,74,73,Medium,Medium,Left,4,4,F
239345,Linda Dallmann,Germany,FC Bayern München,GPFBL,CAM,29,158,51,84,77,77,79,86,46,61,Medium,Medium,Right,4,4,F
264884,Paulina Dudek,Poland,Paris SG,D1 Arkema,CB,26,169,62,84,64,46,64,68,88,76,Medium,Medium,Left,2,2,F
226336,Crystal Dunn,United States,Portland Thorns,NWSL,CAM,31,155,55,84,87,77,83,85,77,81,High,High,Right,4,4,F
267201,Jess Fishlock,Wales,OL Reign,NWSL,CM,36,157,54,84,75,81,80,82,75,73,High,High,Right,4,4,F
227110,Caitlin Foord,Australia,Arsenal,Barclays WSL,LW,29,169,61,84,86,77,80,83,45,70,High,Medium,Right,3,3,F
259287,Pernille Harder,Denmark,FC Bayern München,GPFBL,CAM,31,169,60,84,81,78,81,87,27,77,High,Medium,Right,4,4,F
226979,Amanda Ilestedt,Sweden,Arsenal,Barclays WSL,CB,30,178,65,84,68,42,65,63,87,78,Medium,Medium,Right,2,3,F
257001,Chloe Kelly,England,Manchester City,Barclays WSL,RW,25,168,58,84,88,77,85,85,43,67,High,High,Right,4,4,F
266816,Aubrey Kingsbury,United States,Washington Spirit,NWSL,GK,32,173,65,84,85,83,75,85,41,84,Medium,Medium,Right,1,2,F
227255,Fran Kirby,England,Chelsea,Barclays WSL,CAM,30,157,52,84,85,83,78,88,42,57,High,Medium,Right,4,4,F
