ID,Name,Nation,Club,League,Position,Age,Height,Weight,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Att work rate,Def work rate,Preferred foot,Skill moves,Weak foot,Gender
231747,Kylian Mbappé,France,Paris SG,Ligue 1 Uber Eats,ST,25,182,75,91,97,90,80,92,36,78,High,Low,Right,5,4,M
239085,Erling Haaland,Norway,Manchester City,Premier League,ST,23,195,94,91,89,93,66,80,45,88,High,Medium,Left,3,3,M
192985,Kevin De Bruyne,Belgium,Manchester City,Premier League,CM,32,181,75,91,72,88,94,87,65,78,High,Medium,Right,4,5,M
158023,Lionel Messi,Argentina,Inter Miami CF,MLS,CF,36,169,67,90,80,87,90,94,33,64,Low,Low,Left,4,4,M
165153,Karim Benzema,France,Al Ittihad,ROSHN Saudi League,CF,36,185,81,90,79,88,83,87,39,78,Medium,Medium,Right,4,4,M
192119,Thibaut Courtois,Belgium,Real Madrid,LALIGA EA SPORTS,GK,31,199,96,90,85,89,76,93,46,90,Medium,Medium,Left,1,3,M
202126,Harry Kane,England,FC Bayern München,Bundesliga,ST,30,188,89,90,69,93,84,83,49,83,High,High,Right,3,5,M
188545,Robert Lewandowski,Poland,FC Barcelona,LALIGA EA SPORTS,ST,35,185,81,90,75,91,80,87,44,84,High,Medium,Right,4,4,M
209331,Mohamed Salah,Egypt,Liverpool,Premier League,RW,31,175,71,89,89,87,81,88,45,76,High,Medium,Left,4,3,M
239818,Rúben Dias,Portugal,Manchester City,Premier League,CB,26,187,82,89,62,39,66,69,89,87,Medium,High,Right,2,4,M
238794,Vini Jr.,Brazil,Real Madrid,LALIGA EA SPORTS,LW,23,176,73,89,95,82,78,90,29,68,High,High,Right,5,4,M
231866,Rodri,Spain,Manchester City,Premier League,CDM,27,191,82,89,58,73,80,80,85,84,Medium,High,Right,3,4,M
190871,Neymar Jr,Brazil,Al Hilal,ROSHN Saudi League,LW,31,175,68,89,86,83,85,93,37,61,High,Medium,Right,5,5,M
192448,Marc-André ter Stegen,Germany,FC Barcelona,LALIGA EA SPORTS,GK,31,187,85,89,86,85,89,91,47,86,Medium,Medium,Right,1,4,M
203376,Virgil van Dijk,Holland,Liverpool,Premier League,CB,32,193,92,89,78,60,71,72,89,86,Medium,High,Right,2,3,M
212831,Alisson,Brazil,Liverpool,Premier League,GK,31,193,91,89,86,85,85,89,56,90,Medium,Medium,Right,1,3,M
200145,Casemiro,Brazil,Manchester Utd,Premier League,CDM,31,185,84,89,63,75,79,73,89,88,Medium,High,Right,2,3,M
212198,Bruno Fernandes,Portugal,Manchester Utd,Premier League,CAM,29,179,69,88,71,86,90,83,69,77,High,High,Right,4,3,M
194765,Antoine Griezmann,France,Atlético de Madrid,LALIGA EA SPORTS,ST,32,176,73,88,80,88,87,88,58,75,High,High,Left,4,3,M
232293,Victor Osimhen,Nigeria,Napoli FC,Serie A TIM,ST,24,185,78,88,90,86,66,83,42,82,High,Medium,Right,3,4,M
218667,Bernardo Silva,Portugal,Manchester City,Premier League,CM,29,173,64,88,69,78,86,92,70,69,High,High,Left,4,3,M
239053,Federico Valverde,Uruguay,Real Madrid,LALIGA EA SPORTS,CM,25,182,78,88,88,82,84,84,80,82,High,High,Right,3,4,M
210257,Ederson,Brazil,Manchester City,Premier League,GK,30,188,86,88,86,82,91,86,64,86,Medium,Medium,Left,1,3,M
212622,Joshua Kimmich,Germany,FC Bayern München,Bundesliga,CDM,28,177,75,88,70,74,88,84,82,79,High,Medium,Right,3,4,M
200389,Jan Oblak,Slovenia,Atlético de Madrid,LALIGA EA SPORTS,GK,30,188,87,88,85,90,78,87,46,86,Medium,Medium,Right,1,3,M
177003,Luka Modrić,Croatia,Real Madrid,LALIGA EA SPORTS,CM,38,172,66,87,72,76,89,87,72,66,Medium,Medium,Right,4,4,M
228702,Frenkie de Jong,Holland,FC Barcelona,LALIGA EA SPORTS,CM,26,181,74,87,82,69,86,87,77,78,High,Medium,Right,4,3,M
231478,Lautaro Martínez,Argentina,Inter,Serie A TIM,ST,26,174,72,87,80,86,71,85,48,85,High,Medium,Right,4,4,M
222665,Martin Ødegaard,Norway,Arsenal,Premier League,CAM,25,178,68,87,72,81,88,87,61,64,High,Medium,Left,5,2,M
215698,Mike Maignan,France,Milan,Serie A TIM,GK,28,191,89,87,85,82,87,89,51,85,Medium,Medium,Right,1,4,M
207865,Marquinhos,Brazil,Paris SG,Ligue 1 Uber Eats,CB,29,183,75,87,78,56,75,74,89,80,Medium,High,Right,3,3,M
235073,Gregor Kobel,Switzerland,Borussia Dortmund,Bundesliga,GK,26,195,88,87,86,84,74,89,44,85,Medium,Medium,Right,1,3,M
200104,Heung Min Son,Korea Republic,Spurs,Premier League,LW,31,183,78,87,87,88,80,84,42,70,High,Medium,Right,4,5,M
230621,Gianluigi Donnarumma,Italy,Paris SG,Ligue 1 Uber Eats,GK,24,196,90,87,90,82,79,89,52,83,Medium,Medium,Right,1,3,M
167495,Manuel Neuer,Germany,FC Bayern München,Bundesliga,GK,37,193,93,87,84,85,90,84,49,88,Medium,Medium,Right,1,4,M
231443,Ousmane Dembélé,France,Paris SG,Ligue 1 Uber Eats,RW,26,178,67,86,93,77,81,87,36,57,High,Medium,Left,5,5,M
246669,Bukayo Saka,England,Arsenal,Premier League,RW,22,178,65,86,85,81,79,87,60,70,High,Medium,Left,3,3,M
252371,Jude Bellingham,England,Real Madrid,LALIGA EA SPORTS,CM,20,186,75,86,76,75,79,85,78,82,High,High,Right,4,4,M
