ID,Name,Nation,Club,League,Position,Age,Height,Weight,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Att work rate,Def work rate,Preferred foot,Skill moves,Weak foot,Gender
227125,Sam Kerr,Australia,Chelsea,Barclays WSL,ST,30,168,66,90,85,88,74,90,42,85,High,High,Right,4,4,F
227323,Guro Reiten,Norway,Chelsea,Barclays WSL,LW,29,167,60,88,88,80,86,86,60,63,High,Medium,Left,4,3,F
245802,Beth Mead,England,Arsenal,Barclays WSL,RW,28,163,58,87,81,84,84,87,67,73,High,High,Right,5,4,F
247504,Mary Earps,England,Manchester Utd,Barclays WSL,GK,30,173,68,86,83,83,83,85,41,85,Medium,Medium,Right,1,3,F
257008,Lauren Hemp,England,Manchester City,Barclays WSL,LW,23,164,59,86,90,76,84,87,63,68,High,High,Left,4,3,F
240714,Jill Roord,Holland,Manchester City,Barclays WSL,CAM,26,175,63,86,77,84,84,85,52,73,High,Medium,Right,4,4,F
233746,Vivianne Miedema,Holland,Arsenal,Barclays WSL,ST,27,178,65,86,82,85,70,86,32,81,High,Medium,Right,4,4,F
245872,Kim Little,Scotland,Arsenal,Barclays WSL,CM,33,162,57,86,76,78,83,88,62,66,High,Medium,Right,3,4,F
227392,Ashley Lawrence,Canada,Chelsea,Barclays WSL,RB,28,164,60,86,86,67,82,80,82,78,High,Medium,Right,3,4,F
238257,Millie Bright,England,Chelsea,Barclays WSL,CB,30,178,76,85,57,50,69,58,86,87,Low,High,Right,2,4,F
227383,Kadeisha Buchanan,Canada,Chelsea,Barclays WSL,CB,28,170,65,85,67,44,58,65,87,85,Medium,Medium,Right,2,3,F
235657,Rachel Daly,England,Aston Villa,Barclays WSL,ST,32,167,62,85,77,85,76,82,64,76,High,High,Right,3,3,F
265239,Katie McCabe,Republic of Ireland,Arsenal,Barclays WSL,LB,28,164,55,85,80,74,80,80,81,82,High,Medium,Left,4,3,F
246219,Khadija Shaw,Jamaica,Manchester City,Barclays WSL,ST,26,180,70,85,69,85,69,75,30,85,Medium,Medium,Right,3,4,F
246426,Leah Williamson,England,Arsenal,Barclays WSL,CB,26,170,57,85,75,45,73,72,86,76,High,Medium,Right,3,3,F
265242,Manuela Zinsberger,Austria,Arsenal,Barclays WSL,GK,28,177,67,85,86,77,79,87,46,86,Medium,Medium,Right,1,4,F
258310,Ann-Katrin Berger,Germany,Chelsea,Barclays WSL,GK,33,180,63,84,85,83,80,83,45,81,Medium,Medium,Right,1,3,F
262330,Catarina Macario,United States,Chelsea,Barclays WSL,CAM,24,165,58,84,81,83,80,89,57,73,High,Medium,Right,4,3,F
227110,Caitlin Foord,Australia,Arsenal,Barclays WSL,LW,29,169,61,84,86,77,80,83,45,70,High,Medium,Right,3,3,F
226979,Amanda Ilestedt,Sweden,Arsenal,Barclays WSL,CB,30,178,65,84,68,42,65,63,87,78,Medium,Medium,Right,2,3,F
257001,Chloe Kelly,England,Manchester City,Barclays WSL,RW,25,168,58,84,88,77,85,85,43,67,High,High,Right,4,4,F
227255,Fran Kirby,England,Chelsea,Barclays WSL,CAM,30,157,52,84,85,83,78,88,42,57,High,Medium,Right,4,4,F
265252,Ashleigh Neville,England,Spurs,Barclays WSL,RB,30,171,64,84,77,70,77,77,85,84,High,High,Right,3,4,F
258980,Alessia Russo,England,Arsenal,Barclays WSL,ST,24,173,64,84,82,82,68,84,39,72,Medium,Medium,Right,3,3,F
247797,Hannah Blundell,England,Manchester Utd,Barclays WSL,LB,29,163,54,83,71,54,72,72,83,72,High,Medium,Right,2,4,F
227119,Steph Catley,Australia,Arsenal,Barclays WSL,LB,29,171,60,83,85,66,80,78,78,76,High,High,Left,3,2,F
245882,Erin Cuthbert,Scotland,Chelsea,Barclays WSL,CM,25,163,60,83,78,80,81,82,75,69,High,Medium,Right,4,3,F
265275,Leah Galton,England,Manchester Utd,Barclays WSL,LM,29,170,61,83,73,82,82,82,60,79,High,Medium,Left,4,3,F
227254,Alex Greenwood,England,Manchester City,Barclays WSL,CB,30,167,62,83,70,64,79,74,84,81,Medium,High,Left,2,3,F
265249,Lauren James,England,Chelsea,Barclays WSL,RW,22,175,77,83,87,78,80,85,28,80,High,Low,Right,5,4,F
263011,Ella Toone,England,Manchester Utd,Barclays WSL,CAM,24,163,57,83,81,79,77,85,51,65,High,Medium,Right,5,3,F
265240,Lia Wälti,Switzerland,Arsenal,Barclays WSL,CDM,30,167,56,83,80,62,77,83,81,76,High,High,Right,3,4,F
227353,Kenza Dali,France,Aston Villa,Barclays WSL,CM,32,165,61,82,72,79,82,85,68,71,High,Medium,Right,4,3,F
256489,Bethany England,England,Spurs,Barclays WSL,ST,29,166,59,82,66,84,67,77,40,72,High,Low,Right,3,4,F
